"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2022","725.00","725.00","725.00","725.00","","1.40%"
"02/22/2022","715.00","715.00","715.00","715.00","","1.27%"
"02/21/2022","706.00","706.00","706.00","706.00","","1.00%"
"02/18/2022","699.00","699.00","699.00","699.00","","0.72%"
"02/17/2022","694.00","694.00","694.00","694.00","","0.29%"
"02/16/2022","692.00","692.00","692.00","692.00","","0.14%"
"02/15/2022","691.00","691.00","691.00","691.00","","0.14%"
"02/14/2022","690.00","690.00","690.00","690.00","","0.44%"
"02/11/2022","687.00","687.00","687.00","687.00","","0.88%"
"02/10/2022","681.00","681.00","681.00","681.00","","-0.15%"
"02/09/2022","682.00","682.00","682.00","682.00","","0.15%"
"02/08/2022","681.00","681.00","681.00","681.00","","-0.15%"
"02/07/2022","682.00","682.00","682.00","682.00","","0.44%"
"02/04/2022","679.00","679.00","679.00","679.00","","0.00%"
"02/03/2022","679.00","679.00","679.00","679.00","","-0.44%"
"02/02/2022","682.00","682.00","682.00","682.00","","-0.44%"
"02/01/2022","685.00","685.00","685.00","685.00","","-0.58%"
"01/31/2022","689.00","689.00","689.00","689.00","","0.29%"
"01/28/2022","687.00","687.00","687.00","687.00","","0.29%"
"01/27/2022","685.00","685.00","685.00","685.00","","0.44%"
"01/26/2022","682.00","682.00","682.00","682.00","","-1.30%"
"01/25/2022","691.00","691.00","691.00","691.00","","-0.14%"
"01/24/2022","692.00","692.00","692.00","692.00","","0.00%"
"01/21/2022","692.00","692.00","692.00","692.00","","0.14%"
"01/20/2022","691.00","691.00","691.00","691.00","","-0.14%"
"01/19/2022","692.00","692.00","692.00","692.00","","-0.29%"
"01/18/2022","694.00","694.00","694.00","694.00","","-0.43%"
"01/17/2022","697.00","697.00","697.00","697.00","","-0.14%"
"01/14/2022","698.00","698.00","698.00","698.00","","0.00%"
"01/13/2022","698.00","698.00","698.00","698.00","","0.58%"
"01/12/2022","694.00","694.00","694.00","694.00","","-0.57%"
"01/11/2022","698.00","698.00","698.00","698.00","","-0.85%"
"01/10/2022","704.00","704.00","704.00","704.00","","-0.14%"
"01/07/2022","705.00","705.00","705.00","705.00","","-0.84%"
"01/06/2022","711.00","711.00","711.00","711.00","","0.00%"
"01/05/2022","711.00","711.00","711.00","711.00","","-1.52%"
"01/04/2022","722.00","722.00","722.00","722.00","","-8.14%"
"12/24/2021","786.00","786.00","786.00","786.00","","-0.25%"
"12/23/2021","788.00","788.00","788.00","788.00","","0.00%"
"12/22/2021","788.00","788.00","788.00","788.00","","-1.62%"
"12/21/2021","801.00","801.00","801.00","801.00","","-0.37%"
"12/20/2021","804.00","804.00","804.00","804.00","","0.12%"
"12/17/2021","803.00","803.00","803.00","803.00","","0.25%"
"12/16/2021","801.00","801.00","801.00","801.00","","-0.25%"
"12/15/2021","803.00","803.00","803.00","803.00","","1.01%"
"12/14/2021","795.00","795.00","795.00","795.00","","0.89%"
"12/13/2021","788.00","788.00","788.00","788.00","","0.38%"
"12/10/2021","785.00","785.00","785.00","785.00","","1.03%"
"12/09/2021","777.00","777.00","777.00","777.00","","0.78%"
"12/08/2021","771.00","771.00","771.00","771.00","","0.92%"
"12/07/2021","764.00","764.00","764.00","764.00","","1.33%"
"12/06/2021","754.00","754.00","754.00","754.00","","2.31%"
"12/03/2021","737.00","737.00","737.00","737.00","","1.38%"
"12/02/2021","727.00","727.00","727.00","727.00","","0.97%"
"12/01/2021","720.00","720.00","720.00","720.00","","-0.14%"
"11/30/2021","721.00","721.00","721.00","721.00","","-1.37%"
"11/29/2021","731.00","731.00","731.00","731.00","","-0.95%"
"11/26/2021","738.00","738.00","738.00","738.00","","-0.94%"
"11/25/2021","745.00","745.00","745.00","745.00","","0.13%"
